parcel_id,stop_id,suburb,package_type,service_class,length_cm,width_cm,height_cm,weight_kg,cube_litres,manifest_date
AP20250602000040,S00017,Sydney CBD,small_satchel,ATL,24.3,17.5,3.3,0.38,1.4,2025-06-02
AP20250602000041,S00018,Sydney CBD,medium_parcel,SIG,42.2,33.2,22.9,4.85,32.08,2025-06-02
AP20250602000042,S00019,Sydney CBD,extra_large,ATL,78.5,64.1,43.7,19.27,219.89,2025-06-02
AP20250602000043,S00020,Sydney CBD,medium_satchel,ATL,32.0,23.6,5.9,0.99,4.46,2025-06-02
AP20250602000044,S00021,Sydney CBD,small_parcel,ATL,33.2,26.3,17.8,2.18,15.54,2025-06-02
AP20250602000045,S00022,Sydney CBD,medium_satchel,SIG,33.3,23.7,6.0,1.01,4.74,2025-06-02
AP20250602000046,S00022,Sydney CBD,extra_large,ATL,83.9,62.7,40.0,16.94,210.42,2025-06-02
AP20250602000047,S00022,Sydney CBD,small_satchel,ATL,24.4,18.3,2.8,0.35,1.25,2025-06-02
AP20250602000048,S00022,Sydney CBD,medium_parcel,ATL,42.5,35.8,26.5,4.26,40.32,2025-06-02
AP20250602000049,S00022,Sydney CBD,medium_satchel,ATL,33.7,24.0,5.4,1.01,4.37,2025-06-02
AP20250602000050,S00023,Sydney CBD,extra_large,CARD,87.3,56.5,44.7,19.43,220.48,2025-06-02
AP20250602000051,S00024,Sydney CBD,small_satchel,ATL,26.2,18.6,3.3,0.43,1.61,2025-06-02
AP20250602000052,S00025,Sydney CBD,small_satchel,ATL,25.1,17.8,3.1,0.36,1.39,2025-06-02
AP20250602000053,S00026,Sydney CBD,medium_satchel,ATL,31.1,23.1,5.5,1.0,3.95,2025-06-02
AP20250602000054,S00027,Sydney CBD,small_parcel,ATL,32.2,28.2,19.1,2.18,17.34,2025-06-02
AP20250602000055,S00027,Sydney CBD,small_satchel,CARD,26.7,19.3,2.8,0.36,1.44,2025-06-02
AP20250602000056,S00027,Sydney CBD,small_parcel,CARD,30.1,28.4,16.7,2.27,14.28,2025-06-02
AP20250602000057,S00027,Sydney CBD,medium_parcel,ATL,41.8,35.0,25.4,5.04,37.16,2025-06-02
AP20250602000058,S00027,Sydney CBD,medium_parcel,CARD,44.9,33.2,24.6,5.32,36.67,2025-06-02
AP20250602000059,S00028,Sydney CBD,small_parcel,ATL,30.6,28.2,19.0,2.07,16.4,2025-06-02
AP20250602000060,S00028,Sydney CBD,small_satchel,ATL,24.0,19.2,3.0,0.38,1.38,2025-06-02
AP20250602000061,S00028,Sydney CBD,small_satchel,ATL,24.9,19.4,3.3,0.44,1.59,2025-06-02
AP20250602000062,S00029,Sydney CBD,medium_satchel,ATL,34.3,20.4,6.1,0.87,4.27,2025-06-02
AP20250602000063,S00030,Sydney CBD,medium_satchel,ATL,33.1,21.9,5.8,0.92,4.2,2025-06-02
AP20250602000064,S00031,Sydney CBD,medium_satchel,ATL,31.8,21.0,5.5,1.0,3.67,2025-06-02
AP20250602000065,S00031,Sydney CBD,small_parcel,ATL,35.1,26.6,17.2,1.98,16.06,2025-06-02
AP20250602000066,S00031,Sydney CBD,large_parcel,SIG,63.1,42.7,31.8,10.11,85.68,2025-06-02
AP20250602000067,S00031,Sydney CBD,medium_satchel,ATL,34.6,20.3,5.4,0.85,3.79,2025-06-02
AP20250602000068,S00031,Sydney CBD,medium_satchel,ATL,31.5,23.7,5.8,0.94,4.33,2025-06-02
AP20250602000069,S00031,Sydney CBD,medium_satchel,ATL,34.8,23.0,6.1,0.81,4.88,2025-06-02
AP20250602000070,S00031,Sydney CBD,small_satchel,ATL,25.8,16.7,3.0,0.4,1.29,2025-06-02
AP20250602000071,S00032,Sydney CBD,large_parcel,ATL,64.9,46.4,34.5,10.08,103.89,2025-06-02
AP20250602000072,S00032,Sydney CBD,small_satchel,CARD,25.8,18.0,3.2,0.39,1.49,2025-06-02
AP20250602000073,S00032,Sydney CBD,medium_satchel,ATL,35.2,23.3,6.6,0.87,5.41,2025-06-02
AP20250602000074,S00033,Sydney CBD,medium_satchel,ATL,29.5,21.0,6.6,0.89,4.09,2025-06-02
AP20250602000075,S00034,Sydney CBD,small_satchel,ATL,26.6,18.2,3.3,0.45,1.6,2025-06-02
AP20250602000076,S00035,Sydney CBD,medium_satchel,ATL,33.5,21.7,6.4,0.85,4.65,2025-06-02
AP20250602000077,S00035,Sydney CBD,medium_satchel,ATL,29.6,20.9,6.5,1.02,4.02,2025-06-02
AP20250602000078,S00035,Sydney CBD,small_satchel,SIG,23.5,18.1,3.0,0.41,1.28,2025-06-02
AP20250602000079,S00035,Sydney CBD,medium_satchel,CARD,31.2,22.2,5.7,0.92,3.95,2025-06-02
AP20250602000080,S00035,Sydney CBD,small_satchel,ATL,25.0,17.5,2.7,0.44,1.18,2025-06-02
AP20250602000081,S00035,Sydney CBD,medium_parcel,CARD,49.3,32.9,24.0,5.2,38.93,2025-06-02
AP20250602000082,S00035,Sydney CBD,large_parcel,ATL,60.4,49.3,34.0,9.97,101.24,2025-06-02
AP20250602000083,S00035,Sydney CBD,small_parcel,ATL,33.6,25.6,17.1,1.93,14.71,2025-06-02
AP20250602000084,S00036,Sydney CBD,extra_large,SIG,86.8,64.6,42.7,17.3,239.43,2025-06-02
AP20250602000085,S00036,Sydney CBD,medium_satchel,ATL,30.8,21.7,6.5,0.82,4.34,2025-06-02
AP20250602000086,S00036,Sydney CBD,medium_parcel,SIG,45.5,36.1,26.0,5.09,42.71,2025-06-02
AP20250602000087,S00037,Sydney CBD,small_parcel,ATL,34.1,25.9,19.0,1.93,16.78,2025-06-02
AP20250602000088,S00038,Sydney CBD,small_parcel,ATL,31.7,29.5,18.5,2.0,17.3,2025-06-02
AP20250602000089,S00038,Sydney CBD,small_satchel,ATL,26.7,17.7,3.1,0.42,1.47,2025-06-02
AP20250602000090,S00038,Sydney CBD,medium_satchel,ATL,30.3,20.6,5.7,0.77,3.56,2025-06-02
AP20250602000091,S00038,Sydney CBD,medium_parcel,ATL,48.7,35.4,25.0,4.35,43.1,2025-06-02
AP20250602000092,S00039,Sydney CBD,small_satchel,CARD,26.0,16.9,3.1,0.36,1.36,2025-06-02
AP20250602000093,S00040,Sydney CBD,medium_parcel,CARD,47.5,37.4,25.9,4.26,46.01,2025-06-02
AP20250602000094,S00040,Sydney CBD,medium_parcel,ATL,48.5,35.8,23.6,4.33,40.98,2025-06-02
AP20250602000095,S00040,Sydney CBD,small_parcel,SIG,34.4,25.0,19.5,1.94,16.77,2025-06-02
AP20250602000096,S00041,Sydney CBD,small_parcel,ATL,31.6,25.7,16.5,1.82,13.4,2025-06-02
AP20250602000097,S00041,Sydney CBD,small_parcel,SIG,33.3,29.3,18.0,2.16,17.56,2025-06-02
AP20250602000098,S00041,Sydney CBD,small_parcel,CARD,33.3,25.7,19.1,1.91,16.35,2025-06-02
AP20250602000099,S00042,Sydney CBD,small_satchel,ATL,26.7,18.0,3.0,0.34,1.44,2025-06-02
AP20250602000100,S00042,Sydney CBD,small_satchel,CARD,25.2,17.9,2.7,0.38,1.22,2025-06-02
AP20250602000101,S00042,Sydney CBD,small_satchel,ATL,24.5,16.8,3.2,0.41,1.32,2025-06-02
AP20250602000102,S00043,Sydney CBD,medium_parcel,ATL,43.2,35.9,22.6,4.38,35.05,2025-06-02
AP20250602000103,S00044,Sydney CBD,medium_parcel,CARD,43.1,37.2,24.6,4.87,39.44,2025-06-02
AP20250602000104,S00045,Sydney CBD,large_parcel,SIG,64.0,47.7,35.9,10.74,109.6,2025-06-02
AP20250602000105,S00046,Sydney CBD,small_parcel,ATL,30.3,26.1,17.7,2.05,14.0,2025-06-02
AP20250602000106,S00046,Sydney CBD,small_satchel,ATL,23.2,17.2,3.1,0.36,1.24,2025-06-02
AP20250602000107,S00046,Sydney CBD,small_satchel,ATL,27.3,16.7,3.0,0.42,1.37,2025-06-02
AP20250602000108,S00047,Sydney CBD,small_satchel,CARD,23.1,19.4,3.0,0.39,1.34,2025-06-02
AP20250602000109,S00048,Sydney CBD,medium_satchel,CARD,33.1,23.7,5.4,1.01,4.24,2025-06-02
AP20250602000110,S00048,Sydney CBD,small_satchel,ATL,23.3,19.5,3.0,0.35,1.36,2025-06-02
AP20250602000111,S00048,Sydney CBD,medium_satchel,ATL,29.7,21.6,5.8,1.01,3.72,2025-06-02
AP20250602000112,S00048,Sydney CBD,medium_parcel,ATL,48.9,36.9,25.2,4.9,45.47,2025-06-02
AP20250602000113,S00048,Sydney CBD,large_parcel,ATL,59.2,47.0,37.3,9.48,103.78,2025-06-02
AP20250602000114,S00048,Sydney CBD,large_parcel,ATL,59.0,43.0,35.6,11.5,90.32,2025-06-02
AP20250602000115,S00048,Sydney CBD,small_parcel,ATL,35.1,25.1,17.3,2.2,15.24,2025-06-02
AP20250602000116,S00048,Sydney CBD,small_parcel,ATL,32.1,24.9,18.5,2.08,14.79,2025-06-02
AP20250602000117,S00048,Sydney CBD,small_satchel,CARD,26.8,18.1,2.9,0.34,1.41,2025-06-02
AP20250602000118,S00049,Sydney CBD,small_parcel,ATL,31.7,26.9,19.6,2.21,16.71,2025-06-02
AP20250602000119,S00050,Sydney CBD,medium_parcel,SIG,45.4,37.2,27.2,5.0,45.94,2025-06-02
AP20250602000120,S00050,Sydney CBD,large_parcel,CARD,57.1,49.3,33.4,11.3,94.02,2025-06-02
AP20250602000121,S00050,Sydney CBD,medium_parcel,CARD,45.1,33.2,23.7,4.71,35.49,2025-06-02
AP20250602000122,S00050,Sydney CBD,small_satchel,CARD,23.7,18.8,3.0,0.34,1.34,2025-06-02
AP20250602000123,S00050,Sydney CBD,small_satchel,CARD,26.7,18.5,2.8,0.36,1.38,2025-06-02
AP20250602000124,S00051,Sydney CBD,medium_parcel,SIG,49.2,33.5,26.1,4.9,43.02,2025-06-02
AP20250602000125,S00052,Sydney CBD,small_satchel,ATL,24.7,18.0,2.9,0.41,1.29,2025-06-02
AP20250602000126,S00053,Sydney CBD,small_parcel,ATL,31.6,28.0,16.4,2.22,14.51,2025-06-02
AP20250602000127,S00053,Sydney CBD,extra_large,ATL,83.8,57.9,39.8,16.76,193.11,2025-06-02
AP20250602000128,S00053,Sydney CBD,small_satchel,ATL,24.7,17.9,3.2,0.46,1.41,2025-06-02
AP20250602000129,S00053,Sydney CBD,small_satchel,SIG,25.5,17.8,3.1,0.45,1.41,2025-06-02
AP20250602000130,S00054,Sydney CBD,small_parcel,SIG,30.3,28.3,20.1,2.28,17.24,2025-06-02
AP20250602000131,S00055,Sydney CBD,medium_satchel,CARD,32.8,20.7,6.7,0.93,4.55,2025-06-02
AP20250602000132,S00055,Sydney CBD,small_satchel,ATL,26.2,17.3,3.2,0.46,1.45,2025-06-02
AP20250602000133,S00055,Sydney CBD,small_satchel,ATL,24.4,17.8,3.3,0.44,1.43,2025-06-02
AP20250602000134,S00055,Sydney CBD,small_satchel,ATL,24.6,17.5,2.8,0.42,1.21,2025-06-02
AP20250602000135,S00056,Sydney CBD,small_parcel,ATL,31.5,27.2,16.4,1.79,14.05,2025-06-02
AP20250602000136,S00056,Sydney CBD,small_parcel,ATL,32.9,29.6,19.2,2.28,18.7,2025-06-02
AP20250602000137,S00056,Sydney CBD,small_parcel,ATL,30.0,28.2,17.4,1.95,14.72,2025-06-02
AP20250602000138,S00056,Sydney CBD,small_parcel,ATL,34.5,26.7,16.4,2.29,15.11,2025-06-02
AP20250602000139,S00056,Sydney CBD,medium_satchel,ATL,34.6,23.6,5.4,0.98,4.41,2025-06-02
AP20250602000140,S00056,Sydney CBD,medium_satchel,SIG,30.3,22.9,5.7,0.8,3.96,2025-06-02
AP20250602000141,S00056,Sydney CBD,small_satchel,ATL,27.5,16.7,2.9,0.4,1.33,2025-06-02
AP20250602000142,S00056,Sydney CBD,small_satchel,CARD,25.1,18.8,2.9,0.36,1.37,2025-06-02
AP20250602000143,S00056,Sydney CBD,medium_satchel,ATL,34.3,20.3,6.6,0.87,4.6,2025-06-02
AP20250602000144,S00057,Sydney CBD,small_parcel,CARD,32.1,25.3,18.3,1.77,14.86,2025-06-02
AP20250602000145,S00058,Sydney CBD,medium_parcel,SIG,46.2,32.2,27.8,4.45,41.36,2025-06-02
AP20250602000146,S00058,Sydney CBD,small_satchel,CARD,23.4,19.0,2.8,0.43,1.24,2025-06-02
AP20250602000147,S00058,Sydney CBD,large_parcel,ATL,58.6,49.0,32.1,9.54,92.17,2025-06-02
AP20250602000148,S00058,Sydney CBD,small_parcel,SIG,32.0,29.0,19.6,2.19,18.19,2025-06-02
AP20250602000149,S00058,Sydney CBD,small_satchel,ATL,26.8,16.9,2.9,0.46,1.31,2025-06-02
AP20250602000150,S00058,Sydney CBD,medium_satchel,ATL,31.5,21.8,6.6,0.82,4.53,2025-06-02
AP20250602000151,S00058,Sydney CBD,small_satchel,ATL,24.4,19.5,3.1,0.4,1.47,2025-06-02
AP20250602000152,S00058,Sydney CBD,small_parcel,ATL,33.7,26.5,18.6,2.2,16.61,2025-06-02
AP20250602000153,S00058,Sydney CBD,medium_satchel,ATL,29.4,23.6,6.1,0.94,4.23,2025-06-02
AP20250602000154,S00059,Sydney CBD,small_parcel,ATL,29.7,26.0,20.1,1.95,15.52,2025-06-02
AP20250602000155,S00059,Sydney CBD,large_parcel,ATL,62.9,41.6,31.6,9.9,82.69,2025-06-02
AP20250602000156,S00059,Sydney CBD,small_parcel,CARD,29.6,29.6,18.1,2.16,15.86,2025-06-02
AP20250602000157,S00059,Sydney CBD,small_parcel,ATL,31.4,27.7,16.6,2.16,14.44,2025-06-02
AP20250602000158,S00060,Sydney CBD,medium_parcel,CARD,48.3,36.5,26.6,5.13,46.89,2025-06-02
AP20250602000159,S00061,Sydney CBD,small_satchel,ATL,23.8,17.2,3.2,0.45,1.31,2025-06-02
AP20250602000160,S00062,Sydney CBD,medium_parcel,CARD,41.8,32.4,26.3,4.29,35.62,2025-06-02
AP20250602000161,S00062,Sydney CBD,large_parcel,SIG,65.2,43.4,36.4,10.6,103.0,2025-06-02
AP20250602000162,S00062,Sydney CBD,small_satchel,ATL,25.5,17.8,3.0,0.39,1.36,2025-06-02
AP20250602000163,S00062,Sydney CBD,small_parcel,ATL,35.0,25.3,17.5,1.71,15.5,2025-06-02
AP20250602000164,S00063,Sydney CBD,medium_parcel,ATL,43.7,35.0,27.1,5.4,41.45,2025-06-02
AP20250602000165,S00063,Sydney CBD,small_satchel,ATL,24.5,19.6,3.3,0.36,1.58,2025-06-02
AP20250602000166,S00063,Sydney CBD,medium_satchel,ATL,35.0,23.4,6.5,0.86,5.32,2025-06-02
AP20250602000167,S00063,Sydney CBD,small_parcel,ATL,34.2,29.5,18.6,2.02,18.77,2025-06-02
AP20250602000168,S00063,Sydney CBD,large_parcel,CARD,56.2,47.0,36.3,9.13,95.88,2025-06-02
AP20250602000169,S00064,Sydney CBD,small_satchel,ATL,23.8,17.3,3.3,0.45,1.36,2025-06-02
AP20250602000170,S00065,Sydney CBD,small_satchel,ATL,25.0,18.7,2.8,0.44,1.31,2025-06-02
AP20250602000171,S00066,Sydney CBD,small_satchel,ATL,25.9,17.2,2.9,0.45,1.29,2025-06-02
AP20250602000172,S00066,Sydney CBD,medium_satchel,CARD,30.1,23.9,6.6,0.91,4.75,2025-06-02
AP20250602000173,S00066,Sydney CBD,medium_parcel,ATL,47.6,33.7,27.5,5.43,44.11,2025-06-02
AP20250602000174,S00066,Sydney CBD,medium_parcel,CARD,44.2,33.4,24.5,4.31,36.17,2025-06-02
AP20250602000175,S00066,Sydney CBD,small_satchel,ATL,26.8,19.6,3.2,0.45,1.68,2025-06-02
AP20250602000176,S00066,Sydney CBD,small_satchel,ATL,27.4,18.5,3.0,0.37,1.52,2025-06-02
AP20250602000177,S00066,Sydney CBD,medium_satchel,ATL,33.5,23.1,6.4,0.89,4.95,2025-06-02
AP20250602000178,S00066,Sydney CBD,small_satchel,ATL,26.4,19.3,2.8,0.37,1.43,2025-06-02
AP20250602000179,S00066,Sydney CBD,extra_large,SIG,74.6,57.4,43.3,19.4,185.41,2025-06-02
AP20250602000180,S00067,Sydney CBD,small_satchel,ATL,23.4,18.2,3.2,0.38,1.36,2025-06-02
AP20250602000181,S00068,Sydney CBD,small_satchel,ATL,24.0,17.1,3.2,0.41,1.31,2025-06-02
AP20250602000182,S00068,Sydney CBD,medium_satchel,ATL,30.7,22.5,6.4,0.88,4.42,2025-06-02
AP20250602000183,S00068,Sydney CBD,medium_satchel,ATL,31.3,21.7,5.8,0.79,3.94,2025-06-02
AP20250602000184,S00069,Sydney CBD,small_satchel,CARD,24.6,19.2,3.2,0.41,1.51,2025-06-02
AP20250602000185,S00070,Sydney CBD,medium_satchel,SIG,32.8,23.1,6.7,0.85,5.08,2025-06-02
AP20250602000186,S00070,Sydney CBD,medium_satchel,SIG,34.3,21.0,6.5,1.01,4.68,2025-06-02
AP20250602000187,S00070,Sydney CBD,medium_satchel,ATL,31.7,21.0,5.5,0.98,3.66,2025-06-02
AP20250602000188,S00070,Sydney CBD,small_parcel,ATL,30.7,27.5,17.8,2.0,15.03,2025-06-02
AP20250602000189,S00071,Sydney CBD,small_satchel,CARD,26.4,19.0,3.1,0.37,1.55,2025-06-02
AP20250602000190,S00072,Sydney CBD,small_satchel,ATL,24.9,19.0,2.8,0.44,1.32,2025-06-02
AP20250602000191,S00073,Sydney CBD,medium_satchel,SIG,32.3,20.4,6.2,0.88,4.09,2025-06-02
AP20250602000192,S00073,Sydney CBD,medium_satchel,SIG,30.7,20.3,5.8,0.81,3.61,2025-06-02
AP20250602000193,S00073,Sydney CBD,medium_satchel,ATL,30.0,23.5,5.7,0.86,4.02,2025-06-02
AP20250602000194,S00073,Sydney CBD,small_satchel,SIG,25.1,19.4,2.7,0.36,1.31,2025-06-02
AP20250602000195,S00074,Sydney CBD,small_satchel,CARD,24.6,17.2,3.2,0.38,1.35,2025-06-02
AP20250602000196,S00075,Sydney CBD,medium_satchel,SIG,31.7,20.3,6.7,0.83,4.31,2025-06-02
AP20250602000197,S00075,Sydney CBD,small_satchel,ATL,23.7,18.2,3.3,0.42,1.42,2025-06-02
AP20250602000198,S00075,Sydney CBD,small_parcel,ATL,34.1,27.1,18.0,2.3,16.63,2025-06-02
AP20250602000199,S00075,Sydney CBD,small_parcel,CARD,32.5,25.6,20.1,2.09,16.72,2025-06-02
AP20250602000200,S00075,Sydney CBD,small_satchel,SIG,25.0,19.2,2.9,0.45,1.39,2025-06-02
AP20250602000201,S00076,Sydney CBD,small_satchel,CARD,26.2,19.7,3.2,0.43,1.65,2025-06-02
AP20250602000202,S00077,Sydney CBD,small_satchel,ATL,23.4,18.0,3.0,0.36,1.26,2025-06-02
AP20250602000203,S00078,Sydney CBD,small_satchel,ATL,23.9,19.7,2.8,0.38,1.32,2025-06-02
AP20250602000204,S00078,Sydney CBD,medium_satchel,ATL,32.3,20.7,5.4,0.95,3.61,2025-06-02
AP20250602000205,S00078,Sydney CBD,medium_parcel,SIG,43.3,34.7,25.9,4.3,38.92,2025-06-02
AP20250602000206,S00079,Sydney CBD,small_satchel,CARD,26.1,18.8,2.8,0.37,1.37,2025-06-02
AP20250602000207,S00079,Sydney CBD,medium_satchel,ATL,34.1,22.6,5.7,0.97,4.39,2025-06-02
AP20250602000208,S00079,Sydney CBD,small_parcel,ATL,34.3,25.9,18.9,1.94,16.79,2025-06-02
AP20250602000209,S00080,Sydney CBD,medium_parcel,ATL,43.7,38.3,26.7,5.49,44.69,2025-06-02
AP20250602000210,S00080,Sydney CBD,medium_satchel,ATL,30.4,22.0,6.7,0.92,4.48,2025-06-02
AP20250602000211,S00080,Sydney CBD,medium_parcel,SIG,43.0,32.6,23.2,5.33,32.52,2025-06-02
AP20250602000212,S00080,Sydney CBD,medium_satchel,CARD,31.6,20.6,6.7,0.87,4.36,2025-06-02
AP20250602000213,S00080,Sydney CBD,medium_parcel,ATL,44.3,35.9,25.4,5.34,40.4,2025-06-02
AP20250602000214,S00080,Sydney CBD,large_parcel,CARD,58.5,49.3,38.6,10.39,111.32,2025-06-02
AP20250602000215,S00080,Sydney CBD,medium_satchel,ATL,33.7,22.2,6.7,0.96,5.01,2025-06-02
AP20250602000216,S00081,Sydney CBD,small_satchel,ATL,25.2,17.1,3.0,0.44,1.29,2025-06-02
AP20250602000217,S00082,Sydney CBD,small_satchel,CARD,26.1,18.9,3.3,0.45,1.63,2025-06-02
AP20250602000218,S00083,Sydney CBD,small_satchel,CARD,24.0,17.0,3.1,0.45,1.26,2025-06-02
AP20250602000219,S00083,Sydney CBD,small_satchel,ATL,26.1,19.0,3.0,0.41,1.49,2025-06-02
AP20250602000220,S00083,Sydney CBD,medium_satchel,SIG,31.6,21.4,5.7,0.94,3.85,2025-06-02
AP20250602000221,S00084,Sydney CBD,large_parcel,ATL,57.9,47.2,31.6,11.0,86.36,2025-06-02
AP20250602000222,S00084,Sydney CBD,medium_satchel,CARD,33.5,23.4,5.6,0.86,4.39,2025-06-02
AP20250602000223,S00084,Sydney CBD,small_satchel,SIG,23.1,18.6,3.3,0.35,1.42,2025-06-02
AP20250602000224,S00084,Sydney CBD,small_satchel,ATL,27.5,19.8,2.8,0.36,1.52,2025-06-02
AP20250602000225,S00084,Sydney CBD,small_satchel,ATL,26.1,18.7,2.9,0.36,1.42,2025-06-02
AP20250602000226,S00084,Sydney CBD,small_satchel,ATL,24.1,16.8,2.9,0.36,1.17,2025-06-02
AP20250602000227,S00084,Sydney CBD,medium_satchel,ATL,35.1,21.6,6.0,0.93,4.55,2025-06-02
AP20250602000228,S00084,Sydney CBD,medium_parcel,CARD,44.4,34.9,23.3,4.53,36.1,2025-06-02
AP20250602000229,S00084,Sydney CBD,medium_parcel,ATL,48.2,35.5,24.1,5.27,41.24,2025-06-02
AP20250602000230,S00084,Sydney CBD,medium_satchel,CARD,31.6,21.2,6.0,0.99,4.02,2025-06-02
AP20250602000231,S00084,Sydney CBD,medium_parcel,CARD,48.3,34.3,25.8,5.44,42.74,2025-06-02
AP20250602000232,S00084,Sydney CBD,medium_parcel,ATL,45.6,34.0,26.3,5.26,40.78,2025-06-02
AP20250602000233,S00085,Sydney CBD,small_parcel,SIG,34.6,28.8,16.7,2.09,16.64,2025-06-02
AP20250602000234,S00085,Sydney CBD,small_satchel,ATL,25.0,18.1,2.8,0.4,1.27,2025-06-02
AP20250602000235,S00085,Sydney CBD,small_satchel,ATL,26.7,16.8,3.0,0.37,1.35,2025-06-02
AP20250602000236,S00085,Sydney CBD,small_parcel,CARD,30.6,28.1,16.6,2.03,14.27,2025-06-02
AP20250602000237,S00085,Sydney CBD,small_parcel,SIG,33.7,26.9,19.2,1.98,17.41,2025-06-02
AP20250602000238,S00086,Sydney CBD,medium_satchel,ATL,30.5,23.1,5.6,0.94,3.95,2025-06-02
AP20250602000239,S00087,Sydney CBD,small_parcel,ATL,32.3,28.1,16.2,1.86,14.7,2025-06-02
AP20250602000240,S00088,Sydney CBD,medium_satchel,CARD,32.1,22.2,6.3,0.89,4.49,2025-06-02
AP20250602000241,S00089,Sydney CBD,medium_satchel,CARD,34.1,23.0,6.0,0.86,4.71,2025-06-02
AP20250602000242,S00090,Sydney CBD,small_parcel,ATL,32.1,25.9,19.3,2.17,16.05,2025-06-02
