stop_id,suburb,lat,lon,stop_type,address,zone_id,dominant_suburb
S00032,Sydney CBD,-33.846573,151.182773,business,"200 Pitt St, Sydney CBD NSW",Z0303,Sydney CBD
S00033,Sydney CBD,-33.868962,151.214148,business,"24 Sussex St, Sydney CBD NSW",Z0207,Darlinghurst
S00034,Sydney CBD,-33.881493,151.207086,business,"474 Hunter St, Sydney CBD NSW",Z0658,Surry Hills
S00035,Sydney CBD,-33.858929,151.202309,residential,"644 Phillip St, Sydney CBD NSW",Z0383,Sydney CBD
S00036,Sydney CBD,-33.88345,151.185379,business,"516 Kent St, Sydney CBD NSW",Z0286,Glebe
S00037,Sydney CBD,-33.866294,151.217004,residential,"674 George St, Sydney CBD NSW",Z0688,Sydney CBD
S00038,Sydney CBD,-33.892316,151.201309,apartment,"270 George St, Sydney CBD NSW",Z0686,Surry Hills
S00039,Sydney CBD,-33.884738,151.191751,business,"444 Phillip St, Sydney CBD NSW",Z0277,Glebe
S00040,Sydney CBD,-33.866438,151.166216,business,"312 Kent St, Sydney CBD NSW",Z0243,Glebe
S00041,Sydney CBD,-33.859938,151.208887,business,"284 Bond St, Sydney CBD NSW",Z0320,Sydney CBD
S00042,Sydney CBD,-33.866744,151.235884,business,"316 Clarence St, Sydney CBD NSW",Z0684,Double Bay
S00043,Sydney CBD,-33.870188,151.234219,business,"652 Kent St, Sydney CBD NSW",Z0389,Darlinghurst
S00044,Sydney CBD,-33.872413,151.202444,apartment,"688 Hunter St, Sydney CBD NSW",Z0339,Sydney CBD
S00045,Sydney CBD,-33.886542,151.200267,residential,"524 King St, Sydney CBD NSW",Z0683,Surry Hills
S00046,Sydney CBD,-33.877438,151.216332,apartment,"566 Kent St, Sydney CBD NSW",Z0535,Darlinghurst
S00047,Sydney CBD,-33.874328,151.194324,apartment,"676 Hunter St, Sydney CBD NSW",Z0345,Glebe
S00048,Sydney CBD,-33.856115,151.213827,business,"688 Phillip St, Sydney CBD NSW",Z0431,Sydney CBD
S00049,Sydney CBD,-33.864677,151.220791,business,"458 Sussex St, Sydney CBD NSW",Z0017,Sydney CBD
S00050,Sydney CBD,-33.889956,151.227704,business,"560 Phillip St, Sydney CBD NSW",Z0692,Paddington
S00051,Sydney CBD,-33.864911,151.207798,apartment,"580 Market St, Sydney CBD NSW",Z0076,Sydney CBD
S00052,Sydney CBD,-33.873421,151.206245,residential,"336 York St, Sydney CBD NSW",Z0235,Sydney CBD
S00053,Sydney CBD,-33.876923,151.19613,apartment,"94 York St, Sydney CBD NSW",Z0201,Glebe
S00054,Sydney CBD,-33.86146,151.196897,business,"406 Elizabeth St, Sydney CBD NSW",Z0240,Sydney CBD
S00055,Sydney CBD,-33.856428,151.205903,business,"428 Phillip St, Sydney CBD NSW",Z0466,Sydney CBD
S00056,Sydney CBD,-33.857625,151.21481,apartment,"492 Pitt St, Sydney CBD NSW",Z0431,Sydney CBD
S00057,Sydney CBD,-33.878871,151.223004,business,"48 Clarence St, Sydney CBD NSW",Z0681,Darlinghurst
S00058,Sydney CBD,-33.872511,151.197252,apartment,"642 King St, Sydney CBD NSW",Z0166,Sydney CBD
S00059,Sydney CBD,-33.864825,151.23169,apartment,"548 Market St, Sydney CBD NSW",Z0415,Sydney CBD
S00060,Sydney CBD,-33.857093,151.205233,apartment,"88 Market St, Sydney CBD NSW",Z0466,Sydney CBD
S00061,Sydney CBD,-33.87455,151.208979,business,"664 Sussex St, Sydney CBD NSW",Z0370,Darlinghurst
S00062,Sydney CBD,-33.871028,151.198092,business,"626 Kent St, Sydney CBD NSW",Z0660,Sydney CBD
S00063,Sydney CBD,-33.882076,151.172936,business,"312 Clarence St, Sydney CBD NSW",Z0231,Glebe
S00064,Sydney CBD,-33.883154,151.222561,business,"398 Phillip St, Sydney CBD NSW",Z0050,Paddington
S00065,Sydney CBD,-33.85905,151.220353,business,"324 George St, Sydney CBD NSW",Z0356,Sydney CBD
S00066,Sydney CBD,-33.852525,151.20508,apartment,"468 Market St, Sydney CBD NSW",Z0096,Sydney CBD
S00067,Sydney CBD,-33.869664,151.210305,apartment,"326 Hunter St, Sydney CBD NSW",Z0467,Sydney CBD
S00068,Sydney CBD,-33.856758,151.217039,business,"232 George St, Sydney CBD NSW",Z0234,Sydney CBD
S00069,Sydney CBD,-33.86446,151.185862,business,"186 Phillip St, Sydney CBD NSW",Z0485,Sydney CBD
S00070,Sydney CBD,-33.876541,151.201364,business,"84 Pitt St, Sydney CBD NSW",Z0001,Glebe
S00071,Sydney CBD,-33.864463,151.221214,business,"568 Kent St, Sydney CBD NSW",Z0017,Sydney CBD
S00072,Sydney CBD,-33.850344,151.190486,apartment,"420 Kent St, Sydney CBD NSW",Z0303,Sydney CBD
S00073,Sydney CBD,-33.86923,151.213703,business,"412 King St, Sydney CBD NSW",Z0207,Darlinghurst
S00074,Sydney CBD,-33.850024,151.188951,business,"440 Market St, Sydney CBD NSW",Z0303,Sydney CBD
S00075,Sydney CBD,-33.900237,151.216296,business,"560 Sussex St, Sydney CBD NSW",Z0351,Surry Hills
S00076,Sydney CBD,-33.858937,151.208765,apartment,"272 Bond St, Sydney CBD NSW",Z0282,Sydney CBD
S00077,Sydney CBD,-33.867755,151.185073,apartment,"212 Bond St, Sydney CBD NSW",Z0485,Sydney CBD
S00078,Sydney CBD,-33.872388,151.226771,business,"236 Castlereagh St, Sydney CBD NSW",Z0004,Darlinghurst
S00079,Sydney CBD,-33.867699,151.198281,business,"474 York St, Sydney CBD NSW",Z0434,Sydney CBD
S00080,Sydney CBD,-33.892651,151.197146,apartment,"618 Hunter St, Sydney CBD NSW",Z0678,Waterloo
S00081,Sydney CBD,-33.871436,151.212309,residential,"200 George St, Sydney CBD NSW",Z0207,Darlinghurst
S00082,Sydney CBD,-33.864515,151.22653,business,"522 Castlereagh St, Sydney CBD NSW",Z0099,Sydney CBD
S00083,Sydney CBD,-33.851065,151.194063,apartment,"610 Pitt St, Sydney CBD NSW",Z0303,Sydney CBD
S00084,Sydney CBD,-33.875019,151.210225,residential,"572 Macquarie St, Sydney CBD NSW",Z0285,Sydney CBD
S00085,Sydney CBD,-33.878502,151.215732,residential,"656 York St, Sydney CBD NSW",Z0196,Darlinghurst
S00086,Sydney CBD,-33.874821,151.219697,apartment,"206 Kent St, Sydney CBD NSW",Z0583,Darlinghurst
S00087,Sydney CBD,-33.857815,151.211947,apartment,"126 George St, Sydney CBD NSW",Z0282,Sydney CBD
S00088,Sydney CBD,-33.864855,151.203795,business,"350 Clarence St, Sydney CBD NSW",Z0675,Sydney CBD
S00089,Sydney CBD,-33.875157,151.196886,apartment,"564 Market St, Sydney CBD NSW",Z0201,Glebe
S00090,Sydney CBD,-33.862641,151.210592,business,"586 Pitt St, Sydney CBD NSW",Z0076,Sydney CBD
S00091,Sydney CBD,-33.867635,151.193218,apartment,"452 Clarence St, Sydney CBD NSW",Z0063,Glebe
S00092,Sydney CBD,-33.857176,151.16548,business,"14 Sussex St, Sydney CBD NSW",Z0071,Sydney CBD
S00093,Sydney CBD,-33.877225,151.215848,apartment,"254 Castlereagh St, Sydney CBD NSW",Z0535,Darlinghurst
S00094,Sydney CBD,-33.872732,151.222859,apartment,"184 Market St, Sydney CBD NSW",Z0461,Darlinghurst
S00095,Sydney CBD,-33.873505,151.173856,business,"380 George St, Sydney CBD NSW",Z0108,Glebe
S00096,Sydney CBD,-33.886362,151.194154,apartment,"106 Market St, Sydney CBD NSW",Z0495,Glebe
S00097,Sydney CBD,-33.865247,151.218587,business,"484 York St, Sydney CBD NSW",Z0688,Sydney CBD
S00098,Sydney CBD,-33.865667,151.240162,apartment,"264 King St, Sydney CBD NSW",Z0337,Sydney CBD
S00099,Sydney CBD,-33.868739,151.209612,business,"224 Phillip St, Sydney CBD NSW",Z0116,Sydney CBD
S00100,Sydney CBD,-33.871615,151.19838,business,"14 York St, Sydney CBD NSW",Z0660,Sydney CBD
S00101,Sydney CBD,-33.885784,151.206557,residential,"460 Sussex St, Sydney CBD NSW",Z0673,Surry Hills
S00102,Sydney CBD,-33.873848,151.229923,business,"312 Hunter St, Sydney CBD NSW",Z0253,Darlinghurst
S00103,Sydney CBD,-33.872913,151.199611,apartment,"394 Clarence St, Sydney CBD NSW",Z0339,Sydney CBD
S00104,Sydney CBD,-33.878427,151.197312,business,"646 Macquarie St, Sydney CBD NSW",Z0348,Sydney CBD
S00105,Sydney CBD,-33.870735,151.202059,business,"446 Elizabeth St, Sydney CBD NSW",Z0339,Sydney CBD
S00106,Sydney CBD,-33.863951,151.195,business,"500 York St, Sydney CBD NSW",Z0240,Sydney CBD
S00107,Sydney CBD,-33.846166,151.21114,apartment,"166 King St, Sydney CBD NSW",Z0309,Sydney CBD
S00108,Sydney CBD,-33.866705,151.23367,business,"480 Phillip St, Sydney CBD NSW",Z0107,Darlinghurst
S00109,Sydney CBD,-33.865709,151.214146,business,"646 Hunter St, Sydney CBD NSW",Z0299,Sydney CBD
S00110,Sydney CBD,-33.869693,151.205515,business,"526 York St, Sydney CBD NSW",Z0362,Sydney CBD
S00111,Sydney CBD,-33.891825,151.204923,business,"378 Kent St, Sydney CBD NSW",Z0490,Waterloo
S00112,Sydney CBD,-33.869118,151.185852,residential,"580 King St, Sydney CBD NSW",Z0485,Sydney CBD
S00113,Sydney CBD,-33.868077,151.222547,residential,"116 Macquarie St, Sydney CBD NSW",Z0326,Darlinghurst
S00114,Sydney CBD,-33.839241,151.208132,business,"18 Clarence St, Sydney CBD NSW",Z0309,Sydney CBD
S00115,Sydney CBD,-33.871108,151.206593,apartment,"608 Pitt St, Sydney CBD NSW",Z0362,Sydney CBD
S00116,Sydney CBD,-33.865181,151.257197,business,"230 Bond St, Sydney CBD NSW",Z0489,Rose Bay
S00117,Sydney CBD,-33.869217,151.213781,apartment,"420 Hunter St, Sydney CBD NSW",Z0207,Darlinghurst
S00118,Sydney CBD,-33.882824,151.198023,apartment,"82 Kent St, Sydney CBD NSW",Z0297,Glebe
S00119,Sydney CBD,-33.855086,151.202905,residential,"608 Elizabeth St, Sydney CBD NSW",Z0466,Sydney CBD
S00120,Sydney CBD,-33.859777,151.226527,business,"346 Pitt St, Sydney CBD NSW",Z0212,Sydney CBD
S00121,Sydney CBD,-33.859308,151.210999,apartment,"468 George St, Sydney CBD NSW",Z0282,Sydney CBD
S00122,Sydney CBD,-33.879713,151.187726,business,"562 Macquarie St, Sydney CBD NSW",Z0332,Glebe
S00123,Sydney CBD,-33.851966,151.223088,residential,"156 King St, Sydney CBD NSW",Z0386,Sydney CBD
S00124,Sydney CBD,-33.885622,151.199278,business,"216 Castlereagh St, Sydney CBD NSW",Z0691,Glebe
S00125,Sydney CBD,-33.861758,151.237399,apartment,"562 Kent St, Sydney CBD NSW",Z0337,Sydney CBD
S00126,Sydney CBD,-33.842515,151.225501,apartment,"78 Market St, Sydney CBD NSW",Z0020,Sydney CBD
S00127,Sydney CBD,-33.880686,151.20259,apartment,"238 George St, Sydney CBD NSW",Z0477,Surry Hills
S00128,Sydney CBD,-33.875596,151.228515,business,"670 George St, Sydney CBD NSW",Z0213,Paddington
S00129,Sydney CBD,-33.867604,151.210318,residential,"672 Elizabeth St, Sydney CBD NSW",Z0116,Sydney CBD
S00130,Sydney CBD,-33.874842,151.222092,business,"54 Hunter St, Sydney CBD NSW",Z0676,Darlinghurst
S00131,Sydney CBD,-33.887408,151.216571,apartment,"208 Elizabeth St, Sydney CBD NSW",Z0609,Surry Hills
S00132,Sydney CBD,-33.867977,151.196605,business,"148 King St, Sydney CBD NSW",Z0434,Sydney CBD
S00133,Sydney CBD,-33.881548,151.199647,business,"382 Elizabeth St, Sydney CBD NSW",Z0292,Surry Hills
S00134,Sydney CBD,-33.863117,151.224749,business,"648 Phillip St, Sydney CBD NSW",Z0099,Sydney CBD
S00135,Sydney CBD,-33.879833,151.204278,business,"294 Kent St, Sydney CBD NSW",Z0378,Surry Hills
S00136,Sydney CBD,-33.850201,151.203245,business,"510 Sussex St, Sydney CBD NSW",Z0372,Sydney CBD
S00137,Sydney CBD,-33.878199,151.194973,business,"568 Castlereagh St, Sydney CBD NSW",Z0348,Sydney CBD
S00138,Sydney CBD,-33.872665,151.215654,business,"426 Kent St, Sydney CBD NSW",Z0433,Darlinghurst
S00139,Sydney CBD,-33.859038,151.240238,apartment,"246 Phillip St, Sydney CBD NSW",Z0337,Sydney CBD
S00140,Sydney CBD,-33.88357,151.193287,apartment,"412 Elizabeth St, Sydney CBD NSW",Z0495,Glebe
S00141,Sydney CBD,-33.86607,151.209663,business,"480 York St, Sydney CBD NSW",Z0388,Sydney CBD
S00142,Sydney CBD,-33.853114,151.230483,business,"678 George St, Sydney CBD NSW",Z0263,Sydney CBD
S00143,Sydney CBD,-33.88809,151.208105,business,"572 Clarence St, Sydney CBD NSW",Z0057,Surry Hills
S00144,Sydney CBD,-33.866584,151.216086,business,"44 George St, Sydney CBD NSW",Z0147,Darlinghurst
S00145,Sydney CBD,-33.865681,151.193364,apartment,"518 Phillip St, Sydney CBD NSW",Z0371,Sydney CBD
S00146,Sydney CBD,-33.859418,151.215725,apartment,"210 George St, Sydney CBD NSW",Z0668,Sydney CBD
S00147,Sydney CBD,-33.883643,151.206493,business,"516 Bond St, Sydney CBD NSW",Z0658,Surry Hills
S00148,Sydney CBD,-33.884645,151.224086,business,"408 Castlereagh St, Sydney CBD NSW",Z0667,Paddington
S00149,Sydney CBD,-33.862537,151.227111,business,"620 Castlereagh St, Sydney CBD NSW",Z0212,Sydney CBD
S00150,Sydney CBD,-33.865236,151.248143,apartment,"524 Macquarie St, Sydney CBD NSW",Z0300,Double Bay
S00151,Sydney CBD,-33.865794,151.217994,residential,"214 Market St, Sydney CBD NSW",Z0688,Sydney CBD
S00152,Sydney CBD,-33.864643,151.214187,business,"502 Elizabeth St, Sydney CBD NSW",Z0299,Sydney CBD
S00153,Sydney CBD,-33.87696,151.212216,business,"442 Sussex St, Sydney CBD NSW",Z0315,Darlinghurst
S00154,Sydney CBD,-33.866013,151.204003,apartment,"444 Pitt St, Sydney CBD NSW",Z0413,Sydney CBD
S00155,Sydney CBD,-33.865283,151.214377,residential,"516 Macquarie St, Sydney CBD NSW",Z0299,Sydney CBD
S00156,Sydney CBD,-33.877372,151.204869,business,"402 Castlereagh St, Sydney CBD NSW",Z0275,Sydney CBD
S00157,Sydney CBD,-33.846411,151.211827,business,"516 Elizabeth St, Sydney CBD NSW",Z0677,Sydney CBD
S00158,Sydney CBD,-33.863114,151.229064,business,"698 Pitt St, Sydney CBD NSW",Z0415,Sydney CBD
S00159,Sydney CBD,-33.883096,151.194202,apartment,"450 Castlereagh St, Sydney CBD NSW",Z0665,Glebe
S00160,Sydney CBD,-33.860921,151.226398,business,"404 Market St, Sydney CBD NSW",Z0212,Sydney CBD
S00161,Sydney CBD,-33.880496,151.229057,business,"452 George St, Sydney CBD NSW",Z0663,Darlinghurst
S00162,Sydney CBD,-33.859355,151.207529,apartment,"472 Phillip St, Sydney CBD NSW",Z0009,Sydney CBD
S00163,Sydney CBD,-33.854897,151.177472,business,"366 Pitt St, Sydney CBD NSW",Z0071,Sydney CBD
S00164,Sydney CBD,-33.878648,151.200183,apartment,"400 Elizabeth St, Sydney CBD NSW",Z0494,Sydney CBD
S00165,Sydney CBD,-33.857239,151.228755,business,"492 King St, Sydney CBD NSW",Z0384,Sydney CBD
S00166,Sydney CBD,-33.863847,151.208957,business,"222 Sussex St, Sydney CBD NSW",Z0076,Sydney CBD
S00167,Sydney CBD,-33.858935,151.19431,apartment,"12 Macquarie St, Sydney CBD NSW",Z0402,Sydney CBD
S00168,Sydney CBD,-33.846038,151.201728,business,"472 Pitt St, Sydney CBD NSW",Z0372,Sydney CBD
S00169,Sydney CBD,-33.871745,151.221909,residential,"254 Market St, Sydney CBD NSW",Z0689,Sydney CBD
S00170,Sydney CBD,-33.877845,151.217501,business,"208 York St, Sydney CBD NSW",Z0039,Darlinghurst
S00171,Sydney CBD,-33.879474,151.205716,business,"474 Pitt St, Sydney CBD NSW",Z0378,Surry Hills
S00172,Sydney CBD,-33.87859,151.203798,apartment,"310 Elizabeth St, Sydney CBD NSW",Z0275,Sydney CBD
S00173,Sydney CBD,-33.869725,151.203424,business,"514 Sussex St, Sydney CBD NSW",Z0661,Sydney CBD
S00174,Sydney CBD,-33.864706,151.195464,residential,"470 Castlereagh St, Sydney CBD NSW",Z0371,Sydney CBD
S00175,Sydney CBD,-33.86548,151.233531,business,"578 Hunter St, Sydney CBD NSW",Z0107,Darlinghurst
S00176,Sydney CBD,-33.858874,151.204465,business,"80 Castlereagh St, Sydney CBD NSW",Z0009,Sydney CBD
S00177,Sydney CBD,-33.868644,151.227557,business,"576 Hunter St, Sydney CBD NSW",Z0080,Darlinghurst
S00178,Sydney CBD,-33.851358,151.23212,business,"394 Macquarie St, Sydney CBD NSW",Z0263,Sydney CBD
S00179,Sydney CBD,-33.871976,151.224275,apartment,"546 King St, Sydney CBD NSW",Z0461,Darlinghurst
S00180,Sydney CBD,-33.836158,151.202826,apartment,"528 Kent St, Sydney CBD NSW",Z0060,Sydney CBD
S00181,Sydney CBD,-33.861292,151.215356,business,"114 Kent St, Sydney CBD NSW",Z0668,Sydney CBD
S00182,Sydney CBD,-33.879086,151.208937,business,"596 Pitt St, Sydney CBD NSW",Z0658,Surry Hills
S00183,Sydney CBD,-33.881651,151.195744,apartment,"196 Clarence St, Sydney CBD NSW",Z0366,Glebe
S00184,Sydney CBD,-33.86301,151.214165,residential,"274 Macquarie St, Sydney CBD NSW",Z0390,Sydney CBD
S00185,Sydney CBD,-33.871482,151.191614,business,"174 Elizabeth St, Sydney CBD NSW",Z0216,Glebe
S00186,Sydney CBD,-33.860232,151.227115,business,"484 Macquarie St, Sydney CBD NSW",Z0212,Sydney CBD
S00187,Sydney CBD,-33.863121,151.202331,business,"398 York St, Sydney CBD NSW",Z0675,Sydney CBD
S00188,Sydney CBD,-33.869674,151.212317,apartment,"620 Market St, Sydney CBD NSW",Z0207,Darlinghurst
S00189,Sydney CBD,-33.878962,151.213549,business,"168 York St, Sydney CBD NSW",Z0657,Darlinghurst
S00190,Sydney CBD,-33.886978,151.205416,business,"484 Hunter St, Sydney CBD NSW",Z0042,Surry Hills
S00191,Sydney CBD,-33.874158,151.2181,apartment,"562 Elizabeth St, Sydney CBD NSW",Z0655,Darlinghurst
S00192,Sydney CBD,-33.858523,151.202176,business,"646 Elizabeth St, Sydney CBD NSW",Z0383,Sydney CBD
S00193,Sydney CBD,-33.866231,151.222369,business,"504 Pitt St, Sydney CBD NSW",Z0398,Sydney CBD
S00194,Sydney CBD,-33.883749,151.18911,business,"380 Castlereagh St, Sydney CBD NSW",Z0281,Glebe
S00195,Sydney CBD,-33.866722,151.211196,business,"304 Macquarie St, Sydney CBD NSW",Z0388,Sydney CBD
S00196,Sydney CBD,-33.864176,151.238384,business,"604 Sussex St, Sydney CBD NSW",Z0337,Sydney CBD
S00197,Sydney CBD,-33.879406,151.194295,business,"556 Market St, Sydney CBD NSW",Z0348,Sydney CBD
S00198,Sydney CBD,-33.866955,151.199134,business,"278 York St, Sydney CBD NSW",Z0137,Sydney CBD
S00199,Sydney CBD,-33.868101,151.217009,apartment,"352 Phillip St, Sydney CBD NSW",Z0690,Sydney CBD
S00200,Sydney CBD,-33.882516,151.211994,apartment,"16 Sussex St, Sydney CBD NSW",Z0606,Surry Hills
S00201,Sydney CBD,-33.864507,151.214559,apartment,"590 Market St, Sydney CBD NSW",Z0147,Darlinghurst
S00202,Sydney CBD,-33.862071,151.216638,business,"470 York St, Sydney CBD NSW",Z0668,Sydney CBD
S00203,Sydney CBD,-33.855803,151.218821,business,"326 King St, Sydney CBD NSW",Z0234,Sydney CBD
S00204,Sydney CBD,-33.856154,151.225945,business,"98 Hunter St, Sydney CBD NSW",Z0310,Sydney CBD
S00205,Sydney CBD,-33.885332,151.215447,business,"604 George St, Sydney CBD NSW",Z0652,Surry Hills
S00206,Sydney CBD,-33.880054,151.205681,business,"76 Market St, Sydney CBD NSW",Z0378,Surry Hills
S00207,Sydney CBD,-33.86262,151.219389,apartment,"272 Hunter St, Sydney CBD NSW",Z0017,Sydney CBD
S00208,Sydney CBD,-33.862635,151.237798,business,"620 Elizabeth St, Sydney CBD NSW",Z0337,Sydney CBD
S00209,Sydney CBD,-33.862619,151.20731,business,"438 Bond St, Sydney CBD NSW",Z0076,Sydney CBD
S00210,Sydney CBD,-33.822567,151.194682,business,"696 Clarence St, Sydney CBD NSW",Z0060,Sydney CBD
S00211,Sydney CBD,-33.861949,151.225906,apartment,"592 Elizabeth St, Sydney CBD NSW",Z0212,Sydney CBD
S00212,Sydney CBD,-33.855173,151.207494,business,"68 Pitt St, Sydney CBD NSW",Z0096,Sydney CBD
S00213,Sydney CBD,-33.857352,151.17671,apartment,"158 Bond St, Sydney CBD NSW",Z0071,Sydney CBD
S00214,Sydney CBD,-33.860983,151.222011,business,"472 Sussex St, Sydney CBD NSW",Z0356,Sydney CBD
S00215,Sydney CBD,-33.872583,151.20127,apartment,"546 Elizabeth St, Sydney CBD NSW",Z0339,Sydney CBD
S00216,Sydney CBD,-33.859692,151.207942,apartment,"322 Elizabeth St, Sydney CBD NSW",Z0009,Sydney CBD
S00217,Sydney CBD,-33.878074,151.21428,business,"350 Market St, Sydney CBD NSW",Z0682,Darlinghurst
S00218,Sydney CBD,-33.871642,151.212157,business,"616 Pitt St, Sydney CBD NSW",Z0207,Darlinghurst
S00219,Sydney CBD,-33.874624,151.219942,business,"442 Pitt St, Sydney CBD NSW",Z0583,Darlinghurst
S00220,Sydney CBD,-33.867818,151.202768,business,"18 Bond St, Sydney CBD NSW",Z0661,Sydney CBD
S00221,Sydney CBD,-33.841024,151.216997,apartment,"578 Macquarie St, Sydney CBD NSW",Z0020,Sydney CBD
S00222,Sydney CBD,-33.891207,151.205407,apartment,"226 Elizabeth St, Sydney CBD NSW",Z0490,Waterloo
S00223,Sydney CBD,-33.860565,151.220382,apartment,"410 Bond St, Sydney CBD NSW",Z0356,Sydney CBD
S00224,Sydney CBD,-33.888153,151.218531,apartment,"372 George St, Sydney CBD NSW",Z0669,Surry Hills
S00225,Sydney CBD,-33.874463,151.195268,business,"682 York St, Sydney CBD NSW",Z0345,Glebe
S00226,Sydney CBD,-33.855733,151.22559,business,"394 Market St, Sydney CBD NSW",Z0310,Sydney CBD
S00227,Sydney CBD,-33.868029,151.201261,apartment,"532 Macquarie St, Sydney CBD NSW",Z0661,Sydney CBD
S00228,Sydney CBD,-33.881733,151.221421,business,"524 Hunter St, Sydney CBD NSW",Z0649,Paddington
S00229,Sydney CBD,-33.877384,151.214809,apartment,"496 Kent St, Sydney CBD NSW",Z0682,Darlinghurst
S00230,Sydney CBD,-33.860645,151.236873,business,"230 Elizabeth St, Sydney CBD NSW",Z0337,Sydney CBD
S00231,Sydney CBD,-33.877564,151.205948,business,"242 Castlereagh St, Sydney CBD NSW",Z0275,Sydney CBD
S00232,Sydney CBD,-33.866202,151.20406,residential,"282 Market St, Sydney CBD NSW",Z0413,Sydney CBD
S00233,Sydney CBD,-33.868253,151.209009,business,"130 Market St, Sydney CBD NSW",Z0116,Sydney CBD
S00234,Sydney CBD,-33.876619,151.204752,residential,"552 Market St, Sydney CBD NSW",Z0275,Sydney CBD
S00235,Sydney CBD,-33.843073,151.221299,residential,"626 Pitt St, Sydney CBD NSW",Z0020,Sydney CBD
S00236,Sydney CBD,-33.861193,151.185055,apartment,"478 Sussex St, Sydney CBD NSW",Z0358,Sydney CBD
S00237,Sydney CBD,-33.893102,151.193495,apartment,"604 Pitt St, Sydney CBD NSW",Z0209,Alexandria
S00238,Sydney CBD,-33.866563,151.193283,apartment,"20 Sussex St, Sydney CBD NSW",Z0371,Sydney CBD
S00239,Sydney CBD,-33.876741,151.223555,apartment,"466 Phillip St, Sydney CBD NSW",Z0648,Darlinghurst
S00240,Sydney CBD,-33.858571,151.234959,business,"390 Bond St, Sydney CBD NSW",Z0384,Sydney CBD
S00241,Sydney CBD,-33.87831,151.207733,business,"24 Kent St, Sydney CBD NSW",Z0659,Surry Hills
