sim_id,on_road_saving_s,zs_pre_route_saving_s,zs_total_saving_s,zs_saving_min,hc_pre_route_saving_s,hc_total_saving_s,hc_saving_min
69,641.1,7630.2,8271.3,137.85,6103.8,6488.4,108.14
70,2258.9,4825.0,7083.9,118.06,2421.0,3776.3,62.94
71,1365.4,6875.9,8241.3,137.35,4303.4,5122.6,85.38
72,3097.1,3697.2,6794.3,113.24,1818.6,3676.9,61.28
73,526.9,6018.5,6545.4,109.09,4135.2,4451.4,74.19
74,872.4,5617.3,6489.8,108.16,3668.1,4191.5,69.86
75,1186.9,6265.1,7451.9,124.2,4155.5,4867.6,81.13
76,2066.2,5989.4,8055.6,134.26,4011.0,5250.7,87.51
77,1873.4,6351.6,8224.9,137.08,4017.8,5141.9,85.7
78,1597.2,5487.8,7085.0,118.08,3966.8,4925.1,82.09
79,1053.4,4360.2,5413.7,90.23,2317.4,2949.5,49.16
80,1515.8,3895.7,5411.5,90.19,1116.6,2026.0,33.77
81,1431.9,4153.3,5585.2,93.09,1984.2,2843.3,47.39
82,2180.7,4791.2,6972.0,116.2,2284.1,3592.6,59.88
83,2382.3,6054.5,8436.8,140.61,3967.7,5397.1,89.95
84,1982.3,6804.8,8787.1,146.45,4551.5,5740.9,95.68
85,2003.8,4017.2,6021.0,100.35,1722.2,2924.4,48.74
86,1985.0,3247.2,5232.2,87.2,879.9,2070.9,34.51
87,1605.6,5304.5,6910.1,115.17,3337.4,4300.8,71.68
88,1409.2,5353.0,6762.3,112.7,2630.2,3475.7,57.93
89,1298.2,5169.3,6467.5,107.79,2865.6,3644.6,60.74
90,1479.0,4345.3,5824.3,97.07,2377.4,3264.8,54.41
91,1392.6,3393.5,4786.2,79.77,602.3,1437.9,23.97
92,2009.1,5441.8,7450.9,124.18,3746.8,4952.3,82.54
93,2501.7,6006.9,8508.6,141.81,3015.0,4516.0,75.27
94,716.4,5699.7,6416.1,106.93,2633.1,3062.9,51.05
95,1140.7,6053.3,7194.0,119.9,3407.7,4092.1,68.2
96,2171.5,5745.8,7917.2,131.95,3385.5,4688.3,78.14
97,1576.3,5245.5,6821.8,113.7,3024.6,3970.4,66.17
98,770.8,6936.6,7707.4,128.46,5385.4,5847.9,97.46
99,1623.4,5608.5,7232.0,120.53,3319.9,4294.0,71.57
100,1843.5,6623.7,8467.2,141.12,4641.4,5747.5,95.79
101,1574.7,6620.4,8195.1,136.58,4098.0,5042.8,84.05
102,1971.0,6578.6,8549.6,142.49,4922.6,6105.2,101.75
103,1399.3,4313.3,5712.6,95.21,2784.5,3624.0,60.4
104,2570.1,2996.9,5567.0,92.78,364.5,1906.6,31.78
105,879.8,4061.0,4940.8,82.35,2149.5,2677.4,44.62
106,824.6,7021.3,7845.9,130.77,6089.7,6584.4,109.74
107,1522.3,4484.4,6006.7,100.11,2676.6,3590.0,59.83
108,1705.8,6947.1,8652.9,144.21,4887.9,5911.4,98.52
109,1657.2,6278.2,7935.4,132.26,4330.1,5324.4,88.74
110,1893.0,4149.3,6042.3,100.7,1705.6,2841.4,47.36
111,1408.3,6212.7,7621.0,127.02,4960.2,5805.2,96.75
112,679.0,2513.5,3192.5,53.21,-380.7,26.7,0.45
113,718.8,4068.3,4787.1,79.78,1551.6,1982.9,33.05
114,1256.2,4111.0,5367.2,89.45,2917.4,3671.1,61.18
115,2734.1,2120.4,4854.5,80.91,138.9,1779.4,29.66
116,976.6,6396.3,7372.9,122.88,3300.5,3886.5,64.77
117,864.5,6148.7,7013.3,116.89,4957.2,5475.9,91.26
118,812.4,4469.2,5281.6,88.03,2575.9,3063.4,51.06
119,1083.5,3686.2,4769.7,79.49,2124.5,2774.6,46.24
120,1711.3,6836.5,8547.8,142.46,5149.2,6176.0,102.93
121,2818.0,7120.9,9938.9,165.65,5676.3,7367.0,122.78
122,1344.5,3223.7,4568.3,76.14,658.5,1465.3,24.42
123,1888.8,3765.8,5654.6,94.24,1737.7,2871.0,47.85
124,1911.5,7016.0,8927.5,148.79,4900.0,6046.9,100.78
125,1614.6,5466.5,7081.1,118.02,3808.5,4777.3,79.62
126,1707.1,5701.1,7408.3,123.47,3368.3,4392.6,73.21
127,1285.8,4881.2,6167.0,102.78,4066.8,4838.3,80.64
128,805.7,5675.8,6481.4,108.02,3905.9,4389.3,73.15
129,2219.6,7266.1,9485.7,158.1,4097.6,5429.3,90.49
130,1845.9,3571.5,5417.4,90.29,1264.0,2371.5,39.53
131,1833.1,5946.2,7779.3,129.65,4007.0,5106.9,85.11
132,1350.3,4855.8,6206.2,103.44,2592.3,3402.5,56.71
133,1716.2,7293.7,9009.9,150.16,4655.3,5685.0,94.75
134,2437.7,6280.0,8717.6,145.29,4466.3,5928.9,98.81
135,3081.4,4898.8,7980.1,133.0,2643.4,4492.2,74.87
136,1176.0,4569.8,5745.8,95.76,2888.1,3593.7,59.9
137,2679.4,6474.7,9154.1,152.57,3775.2,5382.8,89.71
138,1904.6,4723.8,6628.3,110.47,3046.0,4188.7,69.81
139,1618.6,3381.0,4999.6,83.33,1742.4,2713.6,45.23
140,1484.9,5776.7,7261.6,121.03,3666.0,4556.9,75.95
141,1202.1,4236.9,5439.0,90.65,2323.4,3044.6,50.74
142,1271.7,2567.4,3839.1,63.99,961.9,1724.9,28.75
143,1986.8,2860.1,4846.9,80.78,762.0,1954.1,32.57
144,627.1,5975.4,6602.5,110.04,3620.3,3996.6,66.61
145,1215.1,6108.6,7323.7,122.06,3034.1,3763.1,62.72
146,2640.8,4405.3,7046.1,117.43,1473.0,3057.5,50.96
147,1387.9,3572.6,4960.5,82.68,2010.3,2843.0,47.38
148,1796.6,6300.3,8096.8,134.95,4373.2,5451.2,90.85
149,1634.2,6326.2,7960.4,132.67,3861.9,4842.4,80.71
150,1161.9,5734.4,6896.3,114.94,3736.3,4433.5,73.89
151,711.4,5699.7,6411.0,106.85,3928.2,4355.0,72.58
152,324.1,4999.8,5323.9,88.73,2599.4,2793.9,46.57
153,1935.4,5914.3,7849.7,130.83,4262.5,5423.7,90.4
154,1988.3,6616.7,8605.0,143.42,4089.6,5282.6,88.04
155,1182.3,7576.7,8759.0,145.98,5512.0,6221.4,103.69
156,2302.5,5714.4,8016.9,133.61,3689.8,5071.3,84.52
157,631.7,6326.8,6958.6,115.98,3216.1,3595.2,59.92
158,1517.4,5771.9,7289.3,121.49,3415.1,4325.6,72.09
159,1813.1,7003.3,8816.4,146.94,5249.0,6336.9,105.61
160,2832.8,6839.8,9672.6,161.21,3180.9,4880.6,81.34
161,1110.9,5745.4,6856.2,114.27,2542.0,3208.6,53.48
162,2828.5,6327.6,9156.0,152.6,5491.8,7188.9,119.81
163,2115.4,5981.8,8097.3,134.95,4146.7,5415.9,90.27
164,517.2,5009.4,5526.6,92.11,3350.6,3660.9,61.02
165,1698.1,4381.7,6079.8,101.33,2119.2,3138.1,52.3
166,1022.1,4813.8,5835.9,97.26,1972.5,2585.7,43.1
167,1823.6,5202.8,7026.4,117.11,3444.6,4538.7,75.65
168,767.2,5151.6,5918.8,98.65,3761.2,4221.5,70.36
169,1995.1,5372.2,7367.4,122.79,2900.6,4097.6,68.29
170,2002.9,4443.8,6446.6,107.44,2415.6,3617.3,60.29
171,1496.5,3372.9,4869.4,81.16,1283.5,2181.4,36.36
172,1658.7,4462.7,6121.4,102.02,2625.3,3620.5,60.34
173,304.0,6704.5,7008.5,116.81,4395.7,4578.1,76.3
174,929.1,6094.4,7023.5,117.06,3638.4,4195.9,69.93
175,483.8,6264.9,6748.7,112.48,3999.2,4289.5,71.49
176,2261.9,5498.3,7760.2,129.34,3093.7,4450.8,74.18
177,1448.6,6270.1,7718.7,128.65,4075.7,4944.9,82.41
178,958.3,6709.9,7668.2,127.8,4721.2,5296.2,88.27
179,792.0,3583.6,4375.6,72.93,878.6,1353.7,22.56
180,1473.1,6694.0,8167.1,136.12,3534.8,4418.6,73.64
181,2446.1,6476.5,8922.5,148.71,3969.9,5437.5,90.63
182,1733.4,4897.1,6630.4,110.51,2406.9,3446.9,57.45
183,1111.1,6598.0,7709.1,128.48,4807.1,5473.7,91.23
184,2138.8,5972.0,8110.8,135.18,4636.1,5919.3,98.66
185,1820.2,3201.1,5021.2,83.69,1308.5,2400.6,40.01
186,2271.3,4296.8,6568.1,109.47,2710.0,4072.8,67.88
187,1224.8,7291.8,8516.6,141.94,4331.0,5065.9,84.43
188,785.8,6558.5,7344.3,122.4,4435.8,4907.3,81.79
189,1469.9,5732.7,7202.6,120.04,2847.2,3729.1,62.15
190,748.9,4412.8,5161.7,86.03,2208.9,2658.2,44.3
191,2242.7,5470.0,7712.7,128.55,3708.4,5054.0,84.23
192,156.4,7491.0,7647.4,127.46,5354.4,5448.3,90.8
193,505.4,5136.7,5642.2,94.04,3175.2,3478.5,57.97
194,1934.4,5026.4,6960.8,116.01,2834.1,3994.7,66.58
195,167.8,6832.1,6999.8,116.66,3862.9,3963.6,66.06
196,641.2,6785.1,7426.3,123.77,4372.0,4756.7,79.28
197,493.9,7635.1,8129.0,135.48,5847.0,6143.3,102.39
198,1733.8,6763.2,8497.0,141.62,4714.9,5755.1,95.92
199,3017.7,6387.6,9405.3,156.75,4263.5,6074.1,101.24
200,1700.1,5455.4,7155.5,119.26,4062.0,5082.0,84.7
201,1730.7,4133.1,5863.9,97.73,1994.7,3033.2,50.55
202,836.2,5467.0,6303.3,105.05,3877.3,4379.0,72.98
203,2004.0,4388.2,6392.2,106.54,3290.8,4493.2,74.89
204,944.6,5683.8,6628.4,110.47,3681.4,4248.2,70.8
205,1306.7,5390.6,6697.3,111.62,2674.7,3458.6,57.64
206,2038.2,7381.2,9419.4,156.99,4966.1,6189.1,103.15
207,1133.4,7254.3,8387.7,139.8,4625.3,5305.4,88.42
208,1375.2,7031.9,8407.1,140.12,5317.3,6142.5,102.37
209,1261.1,5735.9,6997.0,116.62,3635.1,4391.7,73.2
210,947.8,4238.4,5186.2,86.44,688.5,1257.2,20.95
211,1229.2,6894.6,8123.7,135.4,5423.0,6160.5,102.67
212,1868.1,7608.3,9476.4,157.94,5586.1,6706.9,111.78
213,1494.0,6105.0,7599.0,126.65,5094.5,5991.0,99.85
214,1998.4,4174.8,6173.2,102.89,2696.8,3895.8,64.93
215,1361.1,7455.7,8816.7,146.95,5661.9,6478.6,107.98
216,1838.7,6809.2,8647.9,144.13,4132.5,5235.7,87.26
217,1675.1,2452.9,4128.0,68.8,10.8,1015.8,16.93
218,483.3,4396.6,4879.9,81.33,3072.8,3362.8,56.05
219,2641.9,7114.5,9756.4,162.61,4608.5,6193.6,103.23
220,2292.0,4944.2,7236.1,120.6,2105.7,3480.9,58.01
221,2519.6,6403.9,8923.5,148.73,4593.7,6105.4,101.76
222,2840.4,5249.7,8090.2,134.84,3885.0,5589.3,93.15
223,1281.0,4633.5,5914.5,98.57,3564.4,4333.0,72.22
224,1049.7,6247.5,7297.2,121.62,4230.9,4860.7,81.01
225,1331.4,3910.5,5241.9,87.37,1544.4,2343.2,39.05
226,1284.8,4617.4,5902.2,98.37,2970.0,3740.9,62.35
227,2085.5,5239.7,7325.2,122.09,3539.0,4790.3,79.84
228,1285.4,6397.5,7682.8,128.05,3964.3,4735.5,78.93
229,418.7,6761.2,7179.9,119.67,4843.7,5094.9,84.92
230,1191.8,6234.5,7426.2,123.77,4337.2,5052.3,84.2
231,1403.2,4875.3,6278.5,104.64,2972.3,3814.2,63.57
232,2268.5,6572.6,8841.1,147.35,4682.4,6043.5,100.73
233,-159.5,6994.0,6834.4,113.91,5393.2,5297.5,88.29
234,850.5,6722.8,7573.3,126.22,4743.2,5253.5,87.56
235,1698.7,7063.7,8762.5,146.04,5034.6,6053.8,100.9
236,1726.4,7532.8,9259.2,154.32,4886.2,5922.1,98.7
237,1250.6,7250.5,8501.1,141.69,5543.7,6294.1,104.9
238,1430.3,4952.8,6383.1,106.39,2710.0,3568.1,59.47
239,1721.5,6343.3,8064.8,134.41,3875.0,4907.9,81.8
240,1991.5,5710.4,7701.9,128.36,3296.3,4491.1,74.85
241,2238.7,6247.1,8485.9,141.43,3900.8,5244.0,87.4
242,2000.9,4592.2,6593.2,109.89,2953.5,4154.0,69.23
243,1854.0,4077.3,5931.3,98.85,2582.3,3694.7,61.58
244,1068.4,4440.0,5508.3,91.81,2270.8,2911.8,48.53
245,1385.0,5941.8,7326.8,122.11,3721.1,4552.1,75.87
246,1236.2,3360.3,4596.6,76.61,1159.2,1901.0,31.68
247,2044.9,5170.8,7215.7,120.26,2722.4,3949.4,65.82
248,1691.5,5436.5,7128.0,118.8,4381.7,5396.7,89.94
249,1938.4,6029.1,7967.5,132.79,3976.2,5139.3,85.65
250,1111.1,6353.5,7464.6,124.41,4345.8,5012.5,83.54
251,1309.1,5696.9,7006.0,116.77,2736.8,3522.2,58.7
252,1852.6,6735.4,8588.0,143.13,3927.9,5039.4,83.99
253,1469.6,6328.6,7798.2,129.97,3979.4,4861.2,81.02
254,2165.3,5944.4,8109.7,135.16,3694.3,4993.5,83.23
255,1496.7,5273.6,6770.3,112.84,2484.1,3382.2,56.37
256,1254.7,4669.6,5924.4,98.74,1886.0,2638.9,43.98
257,1777.1,5619.2,7396.3,123.27,3910.8,4977.0,82.95
258,1917.9,3757.2,5675.0,94.58,1503.9,2654.7,44.24
259,2781.0,4608.1,7389.1,123.15,2335.2,4003.8,66.73
260,174.7,5599.4,5774.1,96.23,3711.5,3816.3,63.61
261,2518.0,7000.8,9518.7,158.65,4680.2,6191.0,103.18
262,1337.9,5606.0,6943.9,115.73,4387.4,5190.2,86.5
263,1429.2,6473.3,7902.5,131.71,4324.1,5181.6,86.36
264,1405.7,3733.7,5139.4,85.66,1485.5,2328.9,38.81
265,1152.5,4628.6,5781.1,96.35,2330.8,3022.3,50.37
266,865.8,5342.6,6208.4,103.47,3287.9,3807.4,63.46
267,2087.7,4844.8,6932.5,115.54,3282.6,4535.3,75.59
268,1319.7,6239.7,7559.3,125.99,4103.6,4895.4,81.59
269,1949.3,6873.2,8822.4,147.04,5666.0,6835.6,113.93
270,1259.0,6368.1,7627.1,127.12,4354.6,5110.0,85.17
271,2015.5,6472.8,8488.3,141.47,4174.5,5383.7,89.73
272,959.6,5059.4,6019.1,100.32,2845.7,3421.5,57.02
273,1881.3,4262.6,6143.8,102.4,1382.4,2511.2,41.85
274,1320.9,6174.0,7494.9,124.91,3987.6,4780.1,79.67
275,1774.9,5509.4,7284.3,121.41,3195.0,4260.0,71.0
276,2351.2,4938.8,7290.0,121.5,2548.7,3959.4,65.99
277,2007.0,6694.2,8701.2,145.02,4911.1,6115.4,101.92
278,1608.3,5044.1,6652.4,110.87,3072.3,4037.3,67.29
279,1909.5,7253.1,9162.6,152.71,4957.3,6103.0,101.72
280,1950.8,5327.9,7278.7,121.31,3443.4,4613.9,76.9
281,1709.5,4733.7,6443.2,107.39,2700.3,3726.1,62.1
282,1855.7,6217.2,8072.9,134.55,3806.7,4920.1,82.0
283,1885.2,5130.2,7015.4,116.92,3889.7,5020.8,83.68
284,708.5,4807.7,5516.2,91.94,2283.6,2708.7,45.15
285,1352.8,6531.1,7884.0,131.4,4366.6,5178.3,86.3
286,1468.0,4278.5,5746.5,95.77,2271.5,3152.3,52.54
287,2365.2,6896.6,9261.8,154.36,4381.0,5800.1,96.67
288,580.2,4747.8,5328.0,88.8,2183.0,2531.1,42.19
289,1622.3,4509.2,6131.5,102.19,2869.2,3842.6,64.04
290,1702.3,6717.0,8419.3,140.32,5186.2,6207.5,103.46
291,1364.5,6258.0,7622.4,127.04,4851.2,5669.9,94.5
292,2040.2,5406.7,7447.0,124.12,3413.0,4637.1,77.28
293,1349.6,4980.8,6330.4,105.51,3108.8,3918.6,65.31
294,2040.8,6915.3,8956.0,149.27,4880.8,6105.2,101.75
295,57.3,4341.5,4398.8,73.31,2632.8,2667.2,44.45
296,2036.5,3136.9,5173.4,86.22,404.5,1626.4,27.11
297,1014.8,5782.9,6797.8,113.3,3258.8,3867.7,64.46
298,3490.8,6118.9,9609.6,160.16,3580.3,5674.8,94.58
299,1781.3,5624.9,7406.2,123.44,2892.7,3961.5,66.03
300,2548.4,5025.5,7573.9,126.23,2762.1,4291.1,71.52
301,1844.4,7358.5,9202.9,153.38,5003.1,6109.8,101.83
302,1566.8,7103.9,8670.7,144.51,4231.5,5171.6,86.19
303,2866.3,7185.1,10051.4,167.52,4952.2,6672.0,111.2
304,329.7,5795.4,6125.1,102.09,3163.0,3360.8,56.01
305,776.1,6654.4,7430.6,123.84,5529.4,5995.1,99.92
306,1645.5,4720.1,6365.6,106.09,2258.9,3246.2,54.1
307,3217.3,7135.7,10353.0,172.55,4915.4,6845.8,114.1
308,1621.9,7264.0,8885.8,148.1,4245.1,5218.2,86.97
309,1234.1,4723.8,5957.9,99.3,2799.1,3539.6,58.99
310,1348.2,5324.6,6672.7,111.21,3195.2,4004.1,66.74
311,463.0,5089.7,5552.8,92.55,2634.8,2912.7,48.54
312,1918.6,5404.8,7323.4,122.06,3903.4,5054.5,84.24
313,2075.4,4693.8,6769.2,112.82,2381.5,3626.7,60.45
314,1457.8,4470.1,5927.9,98.8,2203.3,3077.9,51.3
315,2359.9,4358.6,6718.5,111.97,2719.7,4135.7,68.93
316,781.8,5175.8,5957.6,99.29,3674.4,4143.5,69.06
317,1213.2,6868.5,8081.7,134.69,5021.2,5749.1,95.82
318,1207.2,5483.6,6690.8,111.51,2666.6,3390.9,56.52
319,2502.1,4694.5,7196.5,119.94,2837.8,4339.1,72.32
320,2263.5,3419.7,5683.2,94.72,703.4,2061.5,34.36
321,1238.2,5977.9,7216.1,120.27,4200.9,4943.8,82.4
322,2338.1,7556.6,9894.7,164.91,4677.5,6080.4,101.34
323,1054.1,5627.7,6681.8,111.36,2870.6,3503.1,58.39
324,2157.8,6322.4,8480.2,141.34,4257.4,5552.1,92.53
325,1726.0,6439.7,8165.7,136.1,4432.4,5468.0,91.13
326,1376.4,4656.2,6032.6,100.54,1800.4,2626.3,43.77
327,753.5,3362.0,4115.5,68.59,1501.6,1953.7,32.56
328,2026.8,4838.0,6864.8,114.41,2388.7,3604.8,60.08
329,1624.9,6527.2,8152.1,135.87,4393.2,5368.2,89.47
330,1479.9,6370.6,7850.4,130.84,4021.9,4909.9,81.83
331,1731.0,6475.1,8206.1,136.77,3973.0,5011.6,83.53
332,819.6,6104.5,6924.1,115.4,3114.9,3606.6,60.11
333,2534.7,7376.3,9911.0,165.18,4770.2,6291.0,104.85
334,2019.0,4552.7,6571.7,109.53,2996.8,4208.2,70.14
335,630.0,5719.3,6349.3,105.82,3741.8,4119.8,68.66
336,1431.0,6721.6,8152.6,135.88,4220.7,5079.2,84.65
337,1848.7,4199.3,6048.0,100.8,1923.3,3032.5,50.54
338,1967.1,3547.8,5514.9,91.91,2010.0,3190.2,53.17
339,2010.5,6214.3,8224.8,137.08,4800.8,6007.2,100.12
340,223.9,6857.3,7081.2,118.02,5311.1,5445.4,90.76
341,1341.7,5551.4,6893.1,114.89,3889.5,4694.6,78.24
342,913.6,4855.6,5769.1,96.15,3100.1,3648.2,60.8
343,-60.8,5984.8,5924.1,98.73,4229.2,4192.8,69.88
344,2269.0,4035.4,6304.3,105.07,1563.6,2925.0,48.75
345,785.6,4543.5,5329.1,88.82,1992.1,2463.4,41.06
346,1004.2,3045.4,4049.6,67.49,459.2,1061.7,17.69
347,1858.1,5262.0,7120.1,118.67,2988.4,4103.2,68.39
348,1064.3,6532.3,7596.6,126.61,4591.8,5230.4,87.17
349,2438.1,6945.6,9383.7,156.39,4963.3,6426.2,107.1
350,1362.8,3347.3,4710.1,78.5,1089.5,1907.2,31.79
351,2654.4,3164.4,5818.8,96.98,998.4,2591.0,43.18
352,2062.1,5027.6,7089.7,118.16,3249.1,4486.4,74.77
353,787.0,5040.1,5827.1,97.12,2440.3,2912.5,48.54
354,1191.0,6666.8,7857.8,130.96,4346.4,5061.0,84.35
355,1462.7,5108.3,6571.0,109.52,2319.7,3197.3,53.29
356,1272.0,4013.0,5285.0,88.08,2440.4,3203.6,53.39
357,1664.4,5189.2,6853.6,114.23,3501.2,4499.8,75.0
358,1852.8,6505.0,8357.8,139.3,4282.9,5394.6,89.91
359,2328.4,7150.5,9478.9,157.98,5243.0,6640.0,110.67
360,1523.0,4315.9,5838.9,97.31,2103.2,3017.0,50.28
361,565.4,6650.7,7216.1,120.27,4433.8,4773.0,79.55
362,1240.9,7256.5,8497.4,141.62,5660.8,6405.3,106.76
363,1181.7,4071.0,5252.6,87.54,2723.3,3432.3,57.2
364,1574.7,3414.4,4989.1,83.15,2309.0,3253.8,54.23
365,1382.1,4463.7,5845.7,97.43,2155.9,2985.1,49.75
366,2363.7,5190.9,7554.6,125.91,2637.9,4056.1,67.6
367,2699.8,7285.7,9985.5,166.43,5302.2,6922.1,115.37
368,519.8,5273.7,5793.5,96.56,3090.4,3402.3,56.7
369,1775.5,4736.3,6511.8,108.53,2654.9,3720.2,62.0
370,268.2,6576.6,6844.8,114.08,4544.4,4705.3,78.42
371,634.4,3306.9,3941.3,65.69,1994.9,2375.5,39.59
372,2743.4,5610.2,8353.6,139.23,3232.7,4878.7,81.31
373,1734.5,6448.2,8182.8,136.38,4354.6,5395.3,89.92
374,2202.6,5040.5,7243.1,120.72,3893.8,5215.3,86.92
375,1406.6,5433.8,6840.4,114.01,3387.4,4231.4,70.52
376,1519.4,7038.3,8557.8,142.63,4395.4,5307.1,88.45
377,767.4,5256.4,6023.9,100.4,3708.0,4168.4,69.47
378,2354.6,5712.6,8067.2,134.45,3467.1,4879.9,81.33
379,1440.6,4693.1,6133.8,102.23,2341.7,3206.1,53.44
380,1880.2,5566.5,7446.6,124.11,2974.3,4102.5,68.37
381,2601.5,6538.4,9139.9,152.33,4453.9,6014.9,100.25
382,1792.8,5425.1,7217.9,120.3,3672.2,4747.9,79.13
383,1020.4,2750.3,3770.7,62.84,967.7,1579.9,26.33
384,865.7,5426.7,6292.4,104.87,3580.0,4099.4,68.32
385,1323.3,5595.3,6918.6,115.31,3675.2,4469.2,74.49
386,920.8,6485.9,7406.7,123.44,4317.2,4869.6,81.16
387,2731.9,5011.0,7743.0,129.05,2966.0,4605.2,76.75
388,1485.9,6786.0,8271.9,137.86,4522.0,5413.6,90.23
389,1470.5,6743.9,8214.4,136.91,4572.8,5455.1,90.92
390,2776.4,6264.5,9040.9,150.68,4244.4,5910.2,98.5
391,1585.8,5181.1,6766.9,112.78,2532.2,3483.7,58.06
392,2058.2,6162.6,8220.8,137.01,4935.6,6170.5,102.84
393,2891.3,7216.2,10107.5,168.46,4757.5,6492.3,108.2
394,2520.0,5875.0,8395.0,139.92,3976.4,5488.4,91.47
395,1463.4,3983.7,5447.1,90.78,1729.5,2607.6,43.46
396,1885.3,2565.9,4451.3,74.19,376.2,1507.4,25.12
397,576.1,6638.7,7214.8,120.25,4399.4,4745.1,79.08
398,1127.7,3827.1,4954.8,82.58,1795.0,2471.7,41.19
